player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Alperen Sengun,PA,28.5,19.4,-9.1,UNDER,PrizePicks,combo,PA,0.0,41.955832728406264,13.455832728406264
Jrue Holiday,PRA,20.0,28.937,8.937000000000001,OVER,PrizePicks,combo,PRA,0.0,33.43366315014131,13.433663150141307
CJ McCollum,PR,18.5,24.612,6.111999999999998,OVER,PrizePicks,combo,PR,0.0,30.57106218094604,12.07106218094604
CJ McCollum,PRA,21.5,27.908,6.408000000000001,OVER,PrizePicks,combo,PRA,0.0,32.89757146235642,11.397571462356417
Aaron Gordon,PRA,31.5,22.023,-9.477,UNDER,PrizePicks,combo,PRA,0.0,42.828863860721604,11.328863860721604
CJ McCollum,PA,18.5,23.274,4.774000000000001,OVER,PrizePicks,combo,PA,0.0,29.172851726868952,10.672851726868952
Victor Wembanyama,PTS,21.0,25.417,4.417000000000002,OVER,PrizePicks,standard,PTS,0.0,31.541090703298273,10.541090703298273
Amen Thompson,PR,27.5,32.776,5.276000000000003,OVER,PrizePicks,combo,PR,0.0,37.671052696171714,10.171052696171714
Matas Buzelis,PRA,25.5,28.253,2.753,OVER,PrizePicks,combo,PRA,0.0,35.29429486146962,9.794294861469623
Nickeil Alexander-Walker,PRA,28.0,30.329,2.3290000000000006,OVER,PrizePicks,combo,PRA,0.0,37.74190191049693,9.741901910496928
Julian Champagnie,PR,19.0,23.711,4.7109999999999985,OVER,PrizePicks,combo,PR,0.0,28.5215304682821,9.521530468282101
Ajay Mitchell,PR,14.5,18.942,4.442,OVER,PrizePicks,combo,PR,0.0,24.02085723800863,9.520857238008631
Jaden McDaniels,PTS,16.5,10.368,-6.132,UNDER,PrizePicks,standard,PTS,0.0,25.674745641406954,9.174745641406954
Kevin Durant,PTS,25.5,27.6,2.1000000000000014,OVER,PrizePicks,standard,PTS,0.0,34.57619798744501,9.076197987445013
Mike Conley,PRA,14.5,9.353,-5.147,UNDER,PrizePicks,combo,PRA,0.0,23.33730027625203,8.83730027625203
Jaden McDaniels,PA,18.5,12.488,-6.0120000000000005,UNDER,PrizePicks,combo,PA,0.0,27.06188972045961,8.561889720459611
Amen Thompson,PTS,19.5,21.344,1.8440000000000012,OVER,PrizePicks,standard,PTS,0.0,28.056873049946216,8.556873049946216
Peyton Watson,PA,23.5,26.121,2.6209999999999987,OVER,PrizePicks,combo,PA,0.0,31.71639848104315,8.21639848104315
Amen Thompson,PRA,32.5,37.149,4.649000000000001,OVER,PrizePicks,combo,PRA,0.0,40.53704688483539,8.03704688483539
Alperen Sengun,PR,31.5,22.676,-8.824000000000002,UNDER,PrizePicks,combo,PR,0.0,39.273714458354284,7.773714458354284
Jaden McDaniels,PRA,24.5,16.179,-8.321000000000002,UNDER,PrizePicks,combo,PRA,0.0,32.10287548604235,7.60287548604235
Jrue Holiday,RA,8.5,13.153,4.6530000000000005,OVER,PrizePicks,combo,RA,0.0,15.897803529725554,7.397803529725554
Norman Powell,PR,23.5,24.872,1.372,OVER,PrizePicks,combo,PR,0.0,30.7514026513673,7.2514026513673
Victor Wembanyama,PA,24.5,28.366,3.866,OVER,PrizePicks,combo,PA,0.0,31.547723480120116,7.047723480120116
De'Aaron Fox,PTS,17.5,18.17,0.6700000000000017,OVER,PrizePicks,standard,PTS,0.0,24.50506393161586,7.005063931615862
Matas Buzelis,PR,22.5,25.477,2.9770000000000003,OVER,PrizePicks,combo,PR,0.0,29.063441776597,6.563441776596999
Alperen Sengun,PRA,37.5,26.576,-10.924,UNDER,PrizePicks,combo,PRA,0.0,43.93515422647347,6.435154226473472
Peyton Watson,PR,26.5,29.362,2.8619999999999983,OVER,PrizePicks,combo,PR,0.0,32.69043313894141,6.190433138941408
Kevin Durant,PRA,36.5,38.284,1.783999999999999,OVER,PrizePicks,combo,PRA,0.0,42.46163180663018,5.96163180663018
Deandre Ayton,PTS,15.5,11.187,-4.313000000000001,UNDER,PrizePicks,standard,PTS,0.0,21.35573937311642,5.855739373116421
Jaden McDaniels,PR,22.5,14.06,-8.44,UNDER,PrizePicks,combo,PR,0.0,28.201547502869392,5.701547502869392
Al Horford,PR,10.5,15.89,5.390000000000001,OVER,PrizePicks,combo,PR,0.0,16.200630010828675,5.700630010828675
Luke Kornet,PR,11.5,16.253,4.753,OVER,PrizePicks,combo,PR,0.0,16.791405275491137,5.291405275491137
Victor Wembanyama,PRA,34.0,36.765,2.765000000000001,OVER,PrizePicks,combo,PRA,0.0,39.206623383616886,5.206623383616886
Bryce McGowens,TO,0.5,2.339,1.839,OVER,PrizePicks,standard,TO,0.0,5.114838671215416,4.614838671215416
Spencer Jones,PR,13.5,13.154,-0.3460000000000001,UNDER,PrizePicks,combo,PR,0.0,18.079269893933994,4.5792698939339935
Matas Buzelis,PA,19.5,22.662,3.161999999999999,OVER,PrizePicks,combo,PA,0.0,23.86299536960834,4.362995369608338
Jrue Holiday,AST,5.0,8.118,3.1180000000000003,OVER,PrizePicks,standard,AST,0.0,9.206110409748218,4.206110409748218
Julian Champagnie,REB,6.5,9.654,3.154,OVER,PrizePicks,standard,REB,0.0,10.681634237341628,4.181634237341628
Moses Moody,TO,0.5,1.961,1.461,OVER,PrizePicks,standard,TO,0.0,4.5623190231273085,4.0623190231273085
Aaron Gordon,PA,24.0,16.687,-7.312999999999999,UNDER,PrizePicks,combo,PA,0.0,27.91040453793385,3.91040453793385
Isaac Okoro,PTS,8.0,9.234,1.234,OVER,PrizePicks,standard,PTS,0.0,11.865445206609365,3.8654452066093654
Jarred Vanderbilt,RA,9.0,6.864,-2.136,UNDER,PrizePicks,combo,RA,0.0,12.730613284231053,3.730613284231053
Jrue Holiday,PTS,10.5,15.784,5.284000000000001,OVER,PrizePicks,standard,PTS,0.0,14.177498990315337,3.6774989903153372
Jake LaRavia,TO,1.5,3.126,1.626,OVER,PrizePicks,standard,TO,0.0,5.129084464313006,3.6290844643130056
Cason Wallace,PA,7.5,9.349,1.849,OVER,PrizePicks,combo,PA,0.0,11.105864105984336,3.6058641059843364
Jalen Johnson,PA,31.5,27.518,-3.9819999999999993,UNDER,PrizePicks,combo,PA,0.0,34.953648526603416,3.4536485266034163
Ajay Mitchell,PTS,11.5,15.601,4.101000000000001,OVER,PrizePicks,standard,PTS,0.0,14.753311499515176,3.253311499515176
Dyson Daniels,PRA,26.5,29.804,3.3039999999999985,OVER,PrizePicks,combo,PRA,0.0,29.74947762523903,3.249477625239031
Oso Ighodaro,PRA,11.5,13.304,1.8040000000000005,OVER,PrizePicks,combo,PRA,0.0,14.655170183518885,3.1551701835188855
Alex Caruso,TO,0.5,1.746,1.246,OVER,PrizePicks,standard,TO,0.0,3.591228190418565,3.091228190418565
Gui Santos,PR,6.5,8.185,1.6850000000000005,OVER,PrizePicks,combo,PR,0.0,9.555985983808258,3.0559859838082577
Spencer Jones,PTS,8.0,9.531,1.5310000000000006,OVER,PrizePicks,standard,PTS,0.0,11.049083664445623,3.0490836644456234
Tre Jones,AST,6.5,6.256,-0.2439999999999997,UNDER,PrizePicks,standard,AST,0.0,9.539133343660419,3.039133343660419
Al Horford,PTS,6.5,9.634,3.1340000000000003,OVER,PrizePicks,standard,PTS,0.0,9.34894940476045,2.84894940476045
Donovan Clingan,TO,1.5,2.882,1.382,OVER,PrizePicks,standard,TO,0.0,4.321597691708905,2.821597691708905
Kevin Durant,PR,30.5,34.04,3.539999999999999,OVER,PrizePicks,combo,PR,0.0,33.26193126640357,2.761931266403572
De'Aaron Fox,REB,4.0,4.828,0.8280000000000003,OVER,PrizePicks,standard,REB,0.0,6.49346718181349,2.4934671818134904
Andrew Wiggins,RA,7.0,6.29,-0.71,UNDER,PrizePicks,combo,RA,0.0,9.488943468258746,2.4889434682587463
Collin Gillespie,PTS,12.5,10.634,-1.8659999999999997,UNDER,PrizePicks,standard,PTS,0.0,14.863924931535522,2.3639249315355215
Jeremiah Fears,PA,16.5,18.126,1.6260000000000012,OVER,PrizePicks,combo,PA,0.0,18.73721926302722,2.237219263027221
Dyson Daniels,PR,19.5,22.076,2.5760000000000005,OVER,PrizePicks,combo,PR,0.0,21.599916228931285,2.099916228931285
Jake LaRavia,REB,5.0,4.826,-0.1740000000000003,UNDER,PrizePicks,standard,REB,0.0,7.079844918415975,2.079844918415975
Shaedon Sharpe,PA,29.0,23.503,-5.497,UNDER,PrizePicks,combo,PA,0.0,31.05586804233649,2.0558680423364883
Stephen Curry,PRA,36.5,36.841,0.3410000000000011,OVER,PrizePicks,combo,PRA,0.0,38.483612527545766,1.9836125275457661
Stephon Castle,AST,6.0,4.554,-1.4459999999999995,UNDER,PrizePicks,standard,AST,0.0,7.98318806873856,1.98318806873856
Jamal Murray,AST,9.0,10.488,1.4879999999999995,OVER,PrizePicks,standard,AST,0.0,10.923908069494914,1.9239080694949138
Tre Jones,PTS,11.5,9.219,-2.2810000000000006,UNDER,PrizePicks,standard,PTS,0.0,13.415536063063985,1.9155360630639855
Jalen Smith,PR,17.5,18.13,0.629999999999999,OVER,PrizePicks,combo,PR,0.0,19.391776031070265,1.8917760310702647
Steven Adams,PTS,6.0,6.723,0.7229999999999999,OVER,PrizePicks,standard,PTS,0.0,7.881122753331021,1.881122753331021
Cason Wallace,STL,1.5,1.067,-0.433,UNDER,PrizePicks,standard,STL,0.0,3.3704105250770193,1.8704105250770193
Bryce McGowens,AST,1.5,1.237,-0.2629999999999999,UNDER,PrizePicks,standard,AST,0.0,3.3589203509015246,1.8589203509015246
Collin Gillespie,TO,1.5,2.712,1.2120000000000002,OVER,PrizePicks,standard,TO,0.0,3.3428173352179806,1.8428173352179806
Julius Randle,PR,31.5,25.28,-6.219999999999999,UNDER,PrizePicks,combo,PR,0.0,33.33148181218969,1.8314818121896934
De'Aaron Fox,AST,5.0,4.559,-0.4409999999999998,UNDER,PrizePicks,standard,AST,0.0,6.8212462170249495,1.8212462170249495
De'Anthony Melton,PTS,11.0,11.739,0.7390000000000008,OVER,PrizePicks,standard,PTS,0.0,12.800467910094152,1.8004679100941523
Spencer Jones,PA,9.5,11.17,1.67,OVER,PrizePicks,combo,PA,0.0,11.276746430689645,1.776746430689645
Alex Caruso,PTS,7.5,6.232,-1.2679999999999998,UNDER,PrizePicks,standard,PTS,0.0,9.222939111782518,1.7229391117825177
Jimmy Butler,PTS,20.5,21.582,1.0820000000000007,OVER,PrizePicks,standard,PTS,0.0,22.20373900029654,1.7037390002965402
Aaron Gordon,PTS,20.5,14.349,-6.151,UNDER,PrizePicks,standard,PTS,0.0,22.202659158989928,1.7026591589899276
Brandin Podziemski,PA,11.5,9.355,-2.1449999999999996,UNDER,PrizePicks,combo,PA,0.0,13.15696919185362,1.6569691918536193
Mark Williams,RA,10.5,8.234,-2.266,UNDER,PrizePicks,combo,RA,0.0,12.156040728753316,1.6560407287533163
Jimmy Butler,STL,1.5,1.146,-0.3540000000000001,UNDER,PrizePicks,standard,STL,0.0,3.1532696465242545,1.6532696465242545
Aaron Gordon,RA,10.5,7.673,-2.827,UNDER,PrizePicks,combo,RA,0.0,12.113951389018816,1.6139513890188155
Harrison Barnes,PTS,10.5,10.869,0.3689999999999998,OVER,PrizePicks,standard,PTS,0.0,12.109483111689293,1.6094831116892934
Myles Turner,RA,6.0,5.707,-0.2930000000000001,UNDER,PrizePicks,combo,RA,0.0,7.5943585793640995,1.5943585793640995
Norman Powell,PTS,20.5,21.712,1.2119999999999995,OVER,PrizePicks,standard,PTS,0.0,22.059068619900778,1.5590686199007777
Will Richard,PTS,3.5,4.614,1.114,OVER,PrizePicks,standard,PTS,0.0,5.047211453748311,1.5472114537483108
Dyson Daniels,REB,6.0,6.908,0.9080000000000004,OVER,PrizePicks,standard,REB,0.0,7.539359436580299,1.5393594365802992
Naz Reid,PA,22.5,17.472,-5.027999999999999,UNDER,PrizePicks,combo,PA,0.0,23.99663508282821,1.4966350828282096
Stephen Curry,REB,4.0,3.721,-0.2789999999999999,UNDER,PrizePicks,standard,REB,0.0,5.49628568341629,1.49628568341629
Matas Buzelis,RA,7.5,8.366,0.8659999999999997,OVER,PrizePicks,combo,RA,0.0,8.985013037441258,1.4850130374412576
Deandre Ayton,RA,10.5,8.111,-2.3889999999999993,UNDER,PrizePicks,combo,RA,0.0,11.965717411180192,1.4657174111801918
Luke Kornet,REB,6.0,7.36,1.3600000000000003,OVER,PrizePicks,standard,REB,0.0,7.420875612268691,1.4208756122686914
Kel'el Ware,PTS,7.5,7.604,0.104,OVER,PrizePicks,standard,PTS,0.0,8.907119198610769,1.4071191986107685
Stephen Curry,PA,32.5,33.12,0.6199999999999974,OVER,PrizePicks,combo,PA,0.0,33.89911159006275,1.399111590062752
Jalen Smith,RA,8.5,10.009,1.5090000000000003,OVER,PrizePicks,combo,RA,0.0,9.876130915941856,1.3761309159418555
Ayo Dosunmu,PRA,22.5,24.422,1.9220000000000008,OVER,PrizePicks,combo,PRA,0.0,23.84177353584301,1.3417735358430107
Marcus Smart,REB,3.5,5.073,1.5730000000000004,OVER,PrizePicks,standard,REB,0.0,4.78471836229966,1.2847183622996603
Isaac Okoro,PR,11.0,13.136,2.1359999999999992,OVER,PrizePicks,combo,PR,0.0,12.280688833976447,1.2806888339764466
Jalen Pickett,REB,4.0,5.511,1.511,OVER,PrizePicks,standard,REB,0.0,5.2744552753857645,1.2744552753857645
Royce O'Neale,PTS,9.5,10.208,0.7080000000000002,OVER,PrizePicks,standard,PTS,0.0,10.696522564617931,1.196522564617931
Peyton Watson,RA,9.5,10.956,1.4559999999999995,OVER,PrizePicks,combo,RA,0.0,10.685624843079035,1.1856248430790348
LeBron James,PRA,37.5,38.47,0.9699999999999988,OVER,PrizePicks,combo,PRA,0.0,38.66796925250417,1.1679692525041716
LeBron James,PRA,37.5,38.47,0.9699999999999988,OVER,PrizePicks,combo,PRA,0.0,38.66796925250417,1.1679692525041716
Jordan Goodwin,RA,7.0,6.842,-0.1580000000000003,UNDER,PrizePicks,combo,RA,0.0,8.153064585383637,1.1530645853836372
Jamal Murray,PR,31.5,27.949,-3.5509999999999984,UNDER,PrizePicks,combo,PR,0.0,32.627192880456576,1.127192880456576
Royce O'Neale,AST,2.5,2.213,-0.2869999999999999,UNDER,PrizePicks,standard,AST,0.0,3.6240713621733094,1.1240713621733094
Ajay Mitchell,AST,2.5,3.768,1.2679999999999998,OVER,PrizePicks,standard,AST,0.0,3.617115721223084,1.117115721223084
Peyton Watson,PTS,20.5,22.264,1.7639999999999991,OVER,PrizePicks,standard,PTS,0.0,21.59921367869523,1.0992136786952287
Nickeil Alexander-Walker,PTS,20.5,22.261,1.7609999999999992,OVER,PrizePicks,standard,PTS,0.0,21.59921367869523,1.0992136786952287
Jalen Pickett,PTS,10.5,10.982,0.4819999999999993,OVER,PrizePicks,standard,PTS,0.0,11.598569745266136,1.0985697452661363
Bryce McGowens,PRA,12.0,13.783,1.7829999999999997,OVER,PrizePicks,combo,PRA,0.0,13.087182680123467,1.0871826801234672
Mark Williams,PRA,23.0,17.021,-5.978999999999999,UNDER,PrizePicks,combo,PRA,0.0,24.072821831221685,1.0728218312216846
Donovan Clingan,STL,0.5,1.023,0.5229999999999999,OVER,PrizePicks,standard,STL,0.0,1.5480607928654757,1.0480607928654757
Kevin Huerter,RA,6.0,7.332,1.332,OVER,PrizePicks,combo,RA,0.0,7.007511135943639,1.0075111359436386
Naz Reid,REB,8.5,6.44,-2.0599999999999996,UNDER,PrizePicks,standard,REB,0.0,9.499585686199799,0.9995856861997989
Draymond Green,REB,6.0,4.583,-1.4169999999999998,UNDER,PrizePicks,standard,REB,0.0,6.963592232575797,0.9635922325757971
Devin Booker,AST,7.0,6.624,-0.3760000000000003,UNDER,PrizePicks,standard,AST,0.0,7.875943385487363,0.8759433854873633
Stephon Castle,REB,4.5,4.558,0.0579999999999998,OVER,PrizePicks,standard,REB,0.0,5.370172832773408,0.8701728327734077
Stephen Curry,AST,4.5,6.072,1.572,OVER,PrizePicks,standard,AST,0.0,5.367858527801823,0.8678585278018227
Will Richard,RA,2.5,4.85,2.3499999999999996,OVER,PrizePicks,combo,RA,0.0,3.3118982877113297,0.8118982877113297
Isaac Okoro,STL,0.5,1.046,0.546,OVER,PrizePicks,standard,STL,0.0,1.307352507559875,0.8073525075598751
Matas Buzelis,STL,0.5,1.095,0.595,OVER,PrizePicks,standard,STL,0.0,1.3050377061877634,0.8050377061877634
Dylan Harper,RA,5.5,4.876,-0.6239999999999997,UNDER,PrizePicks,combo,RA,0.0,6.292695297569209,0.7926952975692094
Caleb Love,PR,21.0,21.266,0.2659999999999982,OVER,PrizePicks,combo,PR,0.0,21.764476753793712,0.764476753793712
Toumani Camara,TO,2.5,3.367,0.867,OVER,PrizePicks,standard,TO,0.0,3.23896016807699,0.7389601680769902
Dillon Brooks,PRA,25.5,27.216,1.716000000000001,OVER,PrizePicks,combo,PRA,0.0,26.207777909849526,0.7077779098495256
Reed Sheppard,PTS,11.5,11.592,0.0920000000000005,OVER,PrizePicks,standard,PTS,0.0,12.198702845575307,0.6987028455753066
Ajay Mitchell,PRA,18.5,22.711,4.2109999999999985,OVER,PrizePicks,combo,PRA,0.0,19.187443608721683,0.6874436087216829
Rayan Rupert,PRA,10.5,9.582,-0.9179999999999992,UNDER,PrizePicks,combo,PRA,0.0,11.157577399524007,0.6575773995240066
Jalen Johnson,REB,9.5,9.301,-0.1989999999999998,UNDER,PrizePicks,standard,REB,0.0,10.126849336000246,0.6268493360002463
Kevin Durant,REB,5.0,6.44,1.4400000000000004,OVER,PrizePicks,standard,REB,0.0,5.613007135684319,0.6130071356843194
Marcus Smart,AST,4.0,3.586,-0.4140000000000001,UNDER,PrizePicks,standard,AST,0.0,4.586862414476238,0.5868624144762382
Tre Jones,PR,14.5,13.027,-1.4730000000000008,UNDER,PrizePicks,combo,PR,0.0,15.074456430627507,0.5744564306275066
Spencer Jones,PRA,14.5,14.793,0.2929999999999992,OVER,PrizePicks,combo,PRA,0.0,15.06847193153562,0.5684719315356208
Tre Jones,RA,9.5,10.064,0.5640000000000001,OVER,PrizePicks,combo,RA,0.0,10.032740799612162,0.5327407996121618
Jalen Johnson,PTS,23.5,21.343,-2.157,UNDER,PrizePicks,standard,PTS,0.0,24.00942368650316,0.5094236865031583
Andrew Wiggins,REB,4.5,4.074,-0.4260000000000001,UNDER,PrizePicks,standard,REB,0.0,4.983152399625713,0.48315239962571344
LeBron James,RA,13.5,13.961,0.4610000000000003,OVER,PrizePicks,combo,RA,0.0,13.973048224766327,0.4730482247663268
Zion Williamson,AST,4.0,3.805,-0.1949999999999998,UNDER,PrizePicks,standard,AST,0.0,4.432840596001864,0.4328405960018644
Stephon Castle,TO,3.5,3.069,-0.431,UNDER,PrizePicks,standard,TO,0.0,3.9185058187157256,0.41850581871572556
Dillon Brooks,PTS,19.5,19.643,0.1430000000000006,OVER,PrizePicks,standard,PTS,0.0,19.883305431780503,0.3833054317805029
Ayo Dosunmu,TO,1.5,2.435,0.935,OVER,PrizePicks,standard,TO,0.0,1.8748083556851436,0.3748083556851436
De'Aaron Fox,RA,9.0,9.387,0.3870000000000004,OVER,PrizePicks,combo,RA,0.0,9.374611409140314,0.3746114091403143
Amen Thompson,REB,8.0,11.432,3.4320000000000004,OVER,PrizePicks,standard,REB,0.0,8.371356955375365,0.37135695537536506
Harrison Barnes,PR,13.5,13.695,0.1950000000000002,OVER,PrizePicks,combo,PR,0.0,13.865482779894398,0.36548277989439804
Aaron Gordon,REB,7.0,5.336,-1.6639999999999997,UNDER,PrizePicks,standard,REB,0.0,7.3381915164652005,0.3381915164652005
CJ McCollum,PTS,15.5,19.979,4.478999999999999,OVER,PrizePicks,standard,PTS,0.0,15.823026116722179,0.32302611672217907
Jeremiah Fears,PR,17.0,18.693,1.6930000000000014,OVER,PrizePicks,combo,PR,0.0,17.321657236398842,0.3216572363988419
Luke Kornet,AST,1.5,1.72,0.2199999999999999,OVER,PrizePicks,standard,AST,0.0,1.8216067802143112,0.3216067802143112
Brandin Podziemski,PTS,8.5,6.842,-1.6580000000000004,UNDER,PrizePicks,standard,PTS,0.0,8.805707354559596,0.30570735455959586
Al Horford,AST,1.5,1.741,0.2410000000000001,OVER,PrizePicks,standard,AST,0.0,1.7840565917992492,0.28405659179924925
Ayo Dosunmu,RA,6.5,7.806,1.306,OVER,PrizePicks,combo,RA,0.0,6.779822134145194,0.27982213414519386
Zeke Nnaji,PA,9.5,11.258,1.7579999999999991,OVER,PrizePicks,combo,PA,0.0,9.731652966683479,0.23165296668347857
Isaac Okoro,PA,9.5,10.923,1.423,OVER,PrizePicks,combo,PA,0.0,9.704375703780274,0.2043757037802738
Nickeil Alexander-Walker,RA,7.0,8.068,1.0679999999999996,OVER,PrizePicks,combo,RA,0.0,7.203559307437867,0.20355930743786743
Oso Ighodaro,AST,1.5,1.84,0.3400000000000001,OVER,PrizePicks,standard,AST,0.0,1.6960859805724646,0.19608598057246462
Myles Turner,PR,15.5,13.906,-1.5939999999999994,UNDER,PrizePicks,combo,PR,0.0,15.684620249174943,0.18462024917494269
Dyson Daniels,AST,6.5,7.728,1.2279999999999998,OVER,PrizePicks,standard,AST,0.0,6.684471530592482,0.18447153059248222
Steven Adams,STL,0.5,1.287,0.7869999999999999,OVER,PrizePicks,standard,STL,0.0,0.6831756580300425,0.18317565803004254
Kevin Durant,RA,10.0,10.684,0.6839999999999993,OVER,PrizePicks,combo,RA,0.0,10.139609785889197,0.13960978588919737
Grayson Allen,TO,1.5,2.219,0.7189999999999999,OVER,PrizePicks,standard,TO,0.0,1.626217330957893,0.1262173309578929
Steven Adams,PTS,5.5,6.723,1.223,OVER,PrizePicks,standard,PTS,0.0,5.609362678141974,0.10936267814197365
Collin Gillespie,AST,4.5,3.181,-1.319,UNDER,PrizePicks,standard,AST,0.0,4.6045755178813,0.10457551788130015
Alperen Sengun,AST,6.0,3.9,-2.1,UNDER,PrizePicks,standard,AST,0.0,6.095977906071375,0.0959779060713748
Andrew Wiggins,PTS,14.5,13.38,-1.1199999999999992,UNDER,PrizePicks,standard,PTS,0.0,14.532320419957935,0.03232041995793544
