player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Moses Moody,PTS,8.0,7.23,-0.7699999999999996,UNDER,PrizePicks,standard,PTS,0.0,5.7749768013313725,-2.2250231986686275
Zion Williamson,REB,6.0,4.447,-1.553,UNDER,PrizePicks,standard,REB,0.0,3.7695917127489844,-2.2304082872510156
Rayan Rupert,PR,8.5,7.82,-0.6799999999999997,UNDER,PrizePicks,combo,PR,0.0,6.265683304626027,-2.2343166953739733
Oso Ighodaro,PA,6.5,9.534,3.0340000000000007,OVER,PrizePicks,combo,PA,0.0,4.2170482261330084,-2.2829517738669916
Brandin Podziemski,RA,6.5,6.165,-0.3349999999999999,UNDER,PrizePicks,combo,RA,0.0,4.178962076305257,-2.3210379236947434
Alex Caruso,PRA,11.5,10.479,-1.0210000000000008,UNDER,PrizePicks,combo,PRA,0.0,9.12913480044601,-2.3708651995539896
Chet Holmgren,REB,9.0,9.792,0.7919999999999998,OVER,PrizePicks,standard,REB,0.0,6.625253829386921,-2.3747461706130792
Royce O'Neale,PA,12.5,12.421,-0.0790000000000006,UNDER,PrizePicks,combo,PA,0.0,10.10655682754394,-2.3934431724560596
Gui Santos,PRA,7.5,9.734,2.234,OVER,PrizePicks,combo,PRA,0.0,5.080340254870018,-2.419659745129982
Jimmy Butler,PA,25.5,25.914,0.4140000000000015,OVER,PrizePicks,combo,PA,0.0,23.055313728260664,-2.444686271739336
Ryan Rollins,RA,10.0,8.821,-1.1790000000000005,UNDER,PrizePicks,combo,RA,0.0,7.549359198513112,-2.4506408014868883
Draymond Green,PTS,8.5,8.781,0.2810000000000006,OVER,PrizePicks,standard,PTS,0.0,6.027133384064461,-2.472866615935539
Davion Mitchell,RA,9.0,8.972,-0.0280000000000004,UNDER,PrizePicks,combo,RA,0.0,6.4872890956013665,-2.5127109043986335
Derik Queen,RA,13.0,14.72,1.7200000000000006,OVER,PrizePicks,combo,RA,0.0,10.480466520077556,-2.519533479922444
Toumani Camara,PTS,14.5,12.49,-2.01,UNDER,PrizePicks,standard,PTS,0.0,11.980225525908146,-2.5197744740918537
Davion Mitchell,PTS,7.5,8.726,1.2260000000000009,OVER,PrizePicks,standard,PTS,0.0,4.9732924468522,-2.5267075531477996
Collin Gillespie,PRA,21.5,18.403,-3.0970000000000013,UNDER,PrizePicks,combo,PRA,0.0,18.962825688178214,-2.5371743118217864
Dylan Harper,PRA,13.5,14.696,1.1959999999999995,OVER,PrizePicks,combo,PRA,0.0,10.877449256329356,-2.6225507436706437
Caleb Love,PRA,23.5,24.001,0.5010000000000012,OVER,PrizePicks,combo,PRA,0.0,20.85691090896594,-2.64308909103406
Matas Buzelis,PTS,16.5,19.887,3.3870000000000005,OVER,PrizePicks,standard,PTS,0.0,13.794977109045776,-2.7050228909542238
Myles Turner,PA,12.0,11.205,-0.7949999999999999,UNDER,PrizePicks,combo,PA,0.0,9.237687937062852,-2.7623120629371485
Shai Gilgeous-Alexander,PTS,31.5,27.784,-3.716000000000001,UNDER,PrizePicks,standard,PTS,0.0,28.7045822897756,-2.795417710224399
Jake LaRavia,PRA,21.5,18.498,-3.001999999999999,UNDER,PrizePicks,combo,PRA,0.0,18.696409869199442,-2.8035901308005577
Jalen Williams,PRA,28.5,27.064,-1.436,UNDER,PrizePicks,combo,PRA,0.0,25.58656401156396,-2.9134359884360386
Donte DiVincenzo,PR,21.5,17.915,-3.585000000000001,UNDER,PrizePicks,combo,PR,0.0,18.55028411504324,-2.9497158849567597
Bam Adebayo,PRA,27.5,23.514,-3.9860000000000007,UNDER,PrizePicks,combo,PRA,0.0,24.479952293001602,-3.0200477069983975
Oso Ighodaro,PTS,5.0,7.694,2.694,OVER,PrizePicks,standard,PTS,0.0,1.9302227338950473,-3.0697772661049525
Donte DiVincenzo,PA,20.5,17.613,-2.8870000000000005,UNDER,PrizePicks,combo,PA,0.0,17.425867552290512,-3.074132447709488
Onyeka Okongwu,PA,20.5,17.611,-2.8889999999999993,UNDER,PrizePicks,combo,PA,0.0,17.425867552290512,-3.074132447709488
Chet Holmgren,PTS,16.5,14.501,-1.9990000000000008,UNDER,PrizePicks,standard,PTS,0.0,13.398931276938479,-3.1010687230615215
Marcus Smart,PTS,12.0,8.431,-3.569000000000001,UNDER,PrizePicks,standard,PTS,0.0,8.880036997644451,-3.119963002355549
Moses Moody,PA,9.5,8.51,-0.9900000000000002,UNDER,PrizePicks,combo,PA,0.0,6.3685582409430985,-3.1314417590569015
Chet Holmgren,PA,18.5,16.502,-1.998000000000001,UNDER,PrizePicks,combo,PA,0.0,15.352183814995644,-3.1478161850043556
Rui Hachimura,PRA,14.5,14.333,-0.1669999999999998,UNDER,PrizePicks,combo,PRA,0.0,11.337123085501771,-3.162876914498229
Nickeil Alexander-Walker,PR,24.5,26.755,2.254999999999999,OVER,PrizePicks,combo,PR,0.0,21.24616771309395,-3.25383228690605
Andrew Wiggins,PRA,21.5,19.67,-1.8299999999999983,UNDER,PrizePicks,combo,PRA,0.0,18.238764884537332,-3.261235115462668
Ryan Rollins,PTS,14.5,14.003,-0.4969999999999999,UNDER,PrizePicks,standard,PTS,0.0,11.218498929696288,-3.2815010703037117
Isaac Okoro,PRA,12.5,14.825,2.3249999999999993,OVER,PrizePicks,combo,PRA,0.0,9.21547915712446,-3.2845208428755406
Cason Wallace,PR,8.5,11.192,2.692,OVER,PrizePicks,combo,PR,0.0,5.175218815598164,-3.324781184401836
Kevin Durant,PA,30.5,31.844,1.3440000000000012,OVER,PrizePicks,combo,PA,0.0,27.113500087790136,-3.386499912209864
Derik Queen,PTS,12.5,9.562,-2.9380000000000006,UNDER,PrizePicks,standard,PTS,0.0,9.093529639417357,-3.4064703605826434
Stephon Castle,PRA,26.5,24.706,-1.7940000000000005,UNDER,PrizePicks,combo,PRA,0.0,23.077141813781527,-3.4228581862184733
Sidy Cissoko,PTS,8.5,8.529,0.0289999999999999,OVER,PrizePicks,standard,PTS,0.0,5.075638418885127,-3.424361581114873
Jalen Williams,PR,23.5,20.992,-2.507999999999999,UNDER,PrizePicks,combo,PR,0.0,20.047540687953227,-3.4524593120467735
Donovan Clingan,REB,12.5,10.931,-1.5690000000000008,UNDER,PrizePicks,standard,REB,0.0,9.021433686655506,-3.478566313344494
Stephon Castle,RA,10.5,9.111,-1.3889999999999991,UNDER,PrizePicks,combo,RA,0.0,7.018137353768855,-3.4818626462311446
Isaiah Joe,PR,8.5,11.437,2.9369999999999994,OVER,PrizePicks,combo,PR,0.0,4.93732170508976,-3.5626782949102402
Jarred Vanderbilt,PRA,16.0,14.693,-1.3070000000000004,UNDER,PrizePicks,combo,PRA,0.0,12.394734484419343,-3.6052655155806566
Davion Mitchell,AST,6.5,6.019,-0.4809999999999998,UNDER,PrizePicks,standard,AST,0.0,2.8785595675990097,-3.6214404324009903
Amen Thompson,RA,13.5,15.805,2.3049999999999997,OVER,PrizePicks,combo,RA,0.0,9.863337887417504,-3.6366621125824956
Keldon Johnson,PA,12.5,13.538,1.0380000000000005,OVER,PrizePicks,combo,PA,0.0,8.780656406967694,-3.719343593032306
Jalen Williams,PTS,17.5,17.112,-0.3880000000000017,UNDER,PrizePicks,standard,PTS,0.0,13.723928245022128,-3.776071754977872
Dylan Harper,PTS,7.5,9.82,2.3200000000000003,OVER,PrizePicks,standard,PTS,0.0,3.705378542899638,-3.794621457100362
Zion Williamson,PTS,23.5,20.253,-3.247,UNDER,PrizePicks,standard,PTS,0.0,19.60380095360734,-3.8961990463926597
Quinten Post,PR,10.5,12.455,1.955,OVER,PrizePicks,combo,PR,0.0,6.516888821625555,-3.983111178374445
Luke Kornet,TO,0.5,2.233,1.733,OVER,PrizePicks,standard,TO,0.0,-3.5270154216832728,-4.027015421683273
Naz Reid,PRA,30.5,23.912,-6.588000000000001,UNDER,PrizePicks,combo,PRA,0.0,26.461329125926447,-4.038670874073553
Jake LaRavia,PR,18.5,16.645,-1.8550000000000004,UNDER,PrizePicks,combo,PR,0.0,14.452383906619476,-4.047616093380524
Collin Gillespie,PA,16.5,13.815,-2.6850000000000005,UNDER,PrizePicks,combo,PA,0.0,12.418818233485275,-4.0811817665147245
Donte DiVincenzo,PRA,26.5,21.291,-5.209,UNDER,PrizePicks,combo,PRA,0.0,22.36721273475545,-4.1327872652445485
Mike Conley,PA,11.5,7.663,-3.837,UNDER,PrizePicks,combo,PA,0.0,7.359431673761783,-4.140568326238217
Jordan Poole,PA,16.0,13.241,-2.7590000000000003,UNDER,PrizePicks,combo,PA,0.0,11.85378426556351,-4.14621573443649
Reed Sheppard,PA,15.5,14.724,-0.7759999999999998,UNDER,PrizePicks,combo,PA,0.0,11.32170732157247,-4.17829267842753
Tyler Herro,PRA,28.5,26.201,-2.2989999999999995,UNDER,PrizePicks,combo,PRA,0.0,24.23083492166512,-4.269165078334879
Bam Adebayo,REB,10.0,9.016,-0.984,UNDER,PrizePicks,standard,REB,0.0,5.60429628290396,-4.39570371709604
Marcus Smart,PRA,19.5,17.09,-2.41,UNDER,PrizePicks,combo,PRA,0.0,15.0896526239125,-4.4103473760875005
Jamal Murray,PA,36.0,33.813,-2.1869999999999976,UNDER,PrizePicks,combo,PA,0.0,31.560379966982403,-4.439620033017597
Toumani Camara,PA,17.5,14.809,-2.6910000000000007,UNDER,PrizePicks,combo,PA,0.0,13.046575179188215,-4.453424820811785
Grayson Allen,PA,15.5,14.452,-1.048,UNDER,PrizePicks,combo,PA,0.0,11.02023838113174,-4.47976161886826
Jarred Vanderbilt,PR,14.0,12.572,-1.4280000000000008,UNDER,PrizePicks,combo,PR,0.0,9.512401211377902,-4.487598788622098
Zion Williamson,PA,27.0,24.058,-2.942,UNDER,PrizePicks,combo,PA,0.0,22.45249231337093,-4.547507686629071
Cason Wallace,PRA,10.5,12.829,2.3290000000000006,OVER,PrizePicks,combo,PRA,0.0,5.927351652315218,-4.572648347684782
Rui Hachimura,PR,13.5,12.653,-0.8469999999999995,UNDER,PrizePicks,combo,PR,0.0,8.87818158566281,-4.62181841433719
De'Aaron Fox,PA,23.5,22.728,-0.7719999999999985,UNDER,PrizePicks,combo,PA,0.0,18.87204755668639,-4.62795244331361
Al Horford,PA,7.5,11.376,3.875999999999999,OVER,PrizePicks,combo,PA,0.0,2.8590634271570563,-4.640936572842944
Davion Mitchell,PR,10.5,11.679,1.1790000000000005,OVER,PrizePicks,combo,PR,0.0,5.753785612687759,-4.746214387312241
Keldon Johnson,PRA,19.5,19.242,-0.2579999999999991,UNDER,PrizePicks,combo,PRA,0.0,14.648080818772694,-4.851919181227306
Ryan Rollins,PA,19.5,17.487,-2.0130000000000017,UNDER,PrizePicks,combo,PA,0.0,14.619087725370543,-4.880912274629457
Andrew Wiggins,PR,18.5,17.454,-1.0459999999999994,UNDER,PrizePicks,combo,PR,0.0,13.503807676651544,-4.996192323348456
Mike Conley,PTS,7.5,5.699,-1.8010000000000002,UNDER,PrizePicks,standard,PTS,0.0,2.4844679260974925,-5.0155320739025075
Keldon Johnson,PR,18.5,17.548,-0.9520000000000016,UNDER,PrizePicks,combo,PR,0.0,13.460454115608805,-5.039545884391195
Caleb Love,PTS,16.0,16.899,0.8990000000000009,OVER,PrizePicks,standard,PTS,0.0,10.934519859511155,-5.0654801404888445
Chet Holmgren,PR,26.5,24.292,-2.2079999999999984,UNDER,PrizePicks,combo,PR,0.0,21.384018936049536,-5.115981063950464
Alex Caruso,PR,9.5,8.925,-0.5749999999999993,UNDER,PrizePicks,combo,PR,0.0,4.303079875139613,-5.196920124860387
Devin Booker,PR,29.5,25.696,-3.8039999999999985,UNDER,PrizePicks,combo,PR,0.0,24.215568776595774,-5.284431223404226
Grayson Allen,PRA,19.0,17.503,-1.497,UNDER,PrizePicks,combo,PRA,0.0,13.613812715170186,-5.3861872848298145
Bam Adebayo,RA,12.5,12.0,-0.5,UNDER,PrizePicks,combo,RA,0.0,7.111518213554183,-5.388481786445817
Jordan Poole,PRA,17.5,15.731,-1.769,UNDER,PrizePicks,combo,PRA,0.0,12.068348805884519,-5.4316511941154815
Zeke Nnaji,PR,13.5,14.974,1.4740000000000002,OVER,PrizePicks,combo,PR,0.0,8.060553661817803,-5.439446338182197
Marcus Smart,PA,16.0,12.017,-3.983000000000001,UNDER,PrizePicks,combo,PA,0.0,10.528346597538384,-5.471653402461616
Toumani Camara,PRA,23.0,19.365,-3.6350000000000016,UNDER,PrizePicks,combo,PRA,0.0,17.415189245155823,-5.584810754844177
Jordan Goodwin,PRA,15.5,16.675,1.1750000000000007,OVER,PrizePicks,combo,PRA,0.0,9.862195296832692,-5.637804703167308
Jalen Pickett,PRA,20.5,20.246,-0.2540000000000013,UNDER,PrizePicks,combo,PRA,0.0,14.794149399404253,-5.705850600595747
De'Anthony Melton,PA,13.5,13.362,-0.1379999999999999,UNDER,PrizePicks,combo,PA,0.0,7.794075002157637,-5.705924997842363
Derik Queen,PA,17.5,15.45,-2.0500000000000007,UNDER,PrizePicks,combo,PA,0.0,11.759893133268958,-5.7401068667310415
Toumani Camara,PR,20.0,17.047,-2.9529999999999994,UNDER,PrizePicks,combo,PR,0.0,14.202948820775045,-5.797051179224955
De'Anthony Melton,PRA,16.5,17.058,0.5579999999999998,OVER,PrizePicks,combo,PRA,0.0,10.65115948012839,-5.84884051987161
Shai Gilgeous-Alexander,PA,37.5,33.856,-3.6439999999999984,UNDER,PrizePicks,combo,PA,0.0,31.57415497113841,-5.925845028861591
Shai Gilgeous-Alexander,PRA,42.5,38.572,-3.9279999999999977,UNDER,PrizePicks,combo,PRA,0.0,36.45900137667602,-6.040998623323979
Derik Queen,PRA,25.5,24.282,-1.218,UNDER,PrizePicks,combo,PRA,0.0,19.444870678052194,-6.055129321947806
Donovan Clingan,PRA,27.5,25.104,-2.396000000000001,UNDER,PrizePicks,combo,PRA,0.0,21.431295525489695,-6.068704474510305
Moses Moody,PR,11.5,9.894,-1.606,UNDER,PrizePicks,combo,PR,0.0,5.42517810965196,-6.07482189034804
Shaedon Sharpe,PTS,25.0,19.633,-5.367000000000001,UNDER,PrizePicks,standard,PTS,0.0,18.911050095256325,-6.088949904743675
Steven Adams,PRA,16.5,16.051,-0.4490000000000016,UNDER,PrizePicks,combo,PRA,0.0,10.321725873903096,-6.178274126096904
Jalen Pickett,PA,16.5,14.735,-1.7650000000000006,UNDER,PrizePicks,combo,PA,0.0,10.24432400917965,-6.25567599082035
Julian Champagnie,RA,8.5,12.342,3.842000000000001,OVER,PrizePicks,combo,RA,0.0,2.155490391898131,-6.344509608101869
Bam Adebayo,PA,17.5,14.498,-3.0020000000000007,UNDER,PrizePicks,combo,PA,0.0,11.140684328353656,-6.359315671646344
Jalen Johnson,AST,8.0,6.174,-1.8259999999999996,UNDER,PrizePicks,standard,AST,0.0,1.5822738979448412,-6.417726102055159
Deandre Ayton,PR,24.5,17.892,-6.6080000000000005,UNDER,PrizePicks,combo,PR,0.0,18.071926112532275,-6.4280738874677255
Jake LaRavia,PA,16.5,13.671,-2.8290000000000006,UNDER,PrizePicks,combo,PA,0.0,10.004557620913404,-6.495442379086596
Kevin Huerter,PRA,18.5,20.425,1.9250000000000007,OVER,PrizePicks,combo,PRA,0.0,11.989889289486312,-6.510110710513688
Zeke Nnaji,PRA,14.5,16.402,1.902000000000001,OVER,PrizePicks,combo,PRA,0.0,7.977523952127929,-6.522476047872071
LeBron James,PR,30.5,31.478,0.9780000000000016,OVER,PrizePicks,combo,PR,0.0,23.972289422196127,-6.527710577803873
Steven Adams,PR,14.5,14.451,-0.0489999999999994,UNDER,PrizePicks,combo,PR,0.0,7.892424035065771,-6.607575964934229
Jalen Johnson,PRA,41.5,36.819,-4.680999999999997,UNDER,PrizePicks,combo,PRA,0.0,34.80129461817131,-6.698705381828688
Donovan Clingan,PR,24.5,22.559,-1.940999999999999,UNDER,PrizePicks,combo,PR,0.0,17.77898215302364,-6.721017846976359
Deandre Ayton,PA,16.5,12.593,-3.907,UNDER,PrizePicks,combo,PA,0.0,9.754014345393996,-6.745985654606004
Andrew Wiggins,PA,16.5,15.596,-0.904,UNDER,PrizePicks,combo,PA,0.0,9.475967275625816,-7.024032724374184
Bam Adebayo,PR,24.5,20.53,-3.969999999999999,UNDER,PrizePicks,combo,PR,0.0,17.46566228145132,-7.034337718548681
Jalen Williams,PA,23.5,23.184,-0.3159999999999989,UNDER,PrizePicks,combo,PA,0.0,16.42420665793779,-7.075793342062209
Rui Hachimura,PTS,9.5,8.99,-0.5099999999999998,UNDER,PrizePicks,standard,PTS,0.0,2.3807679044005647,-7.119232095599435
Jimmy Butler,PRA,31.5,30.858,-0.6419999999999995,UNDER,PrizePicks,combo,PRA,0.0,24.179431763692378,-7.320568236307622
Stephen Curry,PR,31.5,30.769,-0.7310000000000016,UNDER,PrizePicks,combo,PR,0.0,24.101259744049674,-7.398740255950326
Reed Sheppard,PRA,17.5,17.355,-0.1449999999999995,UNDER,PrizePicks,combo,PRA,0.0,9.926052445086919,-7.573947554913081
LeBron James,PA,31.5,31.501,0.0010000000000012,OVER,PrizePicks,combo,PA,0.0,23.914502130123143,-7.585497869876857
Ryan Rollins,PRA,24.5,22.823,-1.6769999999999996,UNDER,PrizePicks,combo,PRA,0.0,16.824893330058014,-7.675106669941986
Tyler Herro,PA,23.5,20.865,-2.6350000000000016,UNDER,PrizePicks,combo,PA,0.0,15.794143200968321,-7.705856799031679
Tyler Herro,PTS,20.0,17.996,-2.0040000000000013,UNDER,PrizePicks,standard,PTS,0.0,12.16064850729432,-7.8393514927056795
Giannis Antetokounmpo,RA,16.0,12.616,-3.3840000000000003,UNDER,PrizePicks,combo,RA,0.0,8.100805589895694,-7.899194410104306
Naz Reid,PR,27.5,21.608,-5.8919999999999995,UNDER,PrizePicks,combo,PR,0.0,19.53181235016058,-7.968187649839422
Jimmy Butler,PR,26.5,26.526,0.0259999999999998,OVER,PrizePicks,combo,PR,0.0,18.202770912919505,-8.297229087080495
Kel'el Ware,PR,15.5,14.266,-1.234,UNDER,PrizePicks,combo,PR,0.0,7.134038673182814,-8.365961326817185
Reed Sheppard,PR,14.5,14.222,-0.2780000000000004,UNDER,PrizePicks,combo,PR,0.0,6.110950084044272,-8.389049915955727
Jeremiah Fears,PRA,20.5,22.236,1.7360000000000009,OVER,PrizePicks,combo,PRA,0.0,12.079340284598329,-8.420659715401671
Julius Randle,PRA,37.5,29.704,-7.795999999999999,UNDER,PrizePicks,combo,PRA,0.0,29.064229235664428,-8.435770764335572
Stephen Curry,PTS,27.5,27.048,-0.4520000000000017,UNDER,PrizePicks,standard,PTS,0.0,18.960947207499622,-8.539052792500378
Grayson Allen,PR,15.5,14.326,-1.1739999999999997,UNDER,PrizePicks,combo,PR,0.0,6.926734834168553,-8.573265165831447
Davion Mitchell,PRA,16.5,17.698,1.1980000000000004,OVER,PrizePicks,combo,PRA,0.0,7.870959884478388,-8.629040115521612
Onyeka Okongwu,PR,24.5,22.479,-2.021000000000001,UNDER,PrizePicks,combo,PR,0.0,15.7034138441148,-8.7965861558852
De'Aaron Fox,PR,22.5,22.998,0.4980000000000011,OVER,PrizePicks,combo,PR,0.0,13.631066083713815,-8.868933916286185
Ajay Mitchell,PA,15.5,19.37,3.870000000000001,OVER,PrizePicks,combo,PA,0.0,6.50065011244958,-8.99934988755042
Donte DiVincenzo,PTS,16.5,14.237,-2.263,UNDER,PrizePicks,standard,PTS,0.0,7.433138438796899,-9.066861561203101
De'Anthony Melton,PR,14.5,15.436,0.936,OVER,PrizePicks,combo,PR,0.0,5.406385732555135,-9.093614267444865
Brandin Podziemski,PR,12.5,10.494,-2.006,UNDER,PrizePicks,combo,PR,0.0,3.162539584469812,-9.337460415530188
Aaron Gordon,PR,27.5,19.685,-7.815000000000001,UNDER,PrizePicks,combo,PR,0.0,18.14386584019501,-9.356134159804991
Dillon Brooks,PR,23.5,24.462,0.9619999999999996,OVER,PrizePicks,combo,PR,0.0,13.593037201143254,-9.906962798856746
Shaedon Sharpe,PR,30.5,23.744,-6.756,UNDER,PrizePicks,combo,PR,0.0,20.299507512056785,-10.200492487943215
Myles Turner,PRA,17.5,15.409,-2.0909999999999993,UNDER,PrizePicks,combo,PRA,0.0,7.239026591625633,-10.260973408374367
Jalen Johnson,RA,17.5,15.476,-2.023999999999999,UNDER,PrizePicks,combo,RA,0.0,7.0019510653088055,-10.498048934691194
Tre Jones,PA,17.5,15.475,-2.0250000000000004,UNDER,PrizePicks,combo,PA,0.0,6.751908711088618,-10.748091288911382
Deandre Ayton,PRA,26.0,19.298,-6.702000000000002,UNDER,PrizePicks,combo,PRA,0.0,15.206445641058872,-10.793554358941128
Onyeka Okongwu,PRA,28.5,26.339,-2.161000000000002,UNDER,PrizePicks,combo,PRA,0.0,17.691399564635713,-10.808600435364287
LeBron James,PTS,23.5,24.509,1.0090000000000003,OVER,PrizePicks,standard,PTS,0.0,12.480705455059862,-11.019294544940138
Devin Booker,PTS,25.5,22.634,-2.8659999999999997,UNDER,PrizePicks,standard,PTS,0.0,14.372358167897005,-11.127641832102995
Jordan Goodwin,PR,12.5,14.246,1.7460000000000004,OVER,PrizePicks,combo,PR,0.0,1.2988149733488528,-11.201185026651148
Harrison Barnes,PA,12.5,14.231,1.731,OVER,PrizePicks,combo,PA,0.0,1.1950647969303156,-11.304935203069684
Collin Gillespie,PR,16.5,15.222,-1.2780000000000005,UNDER,PrizePicks,combo,PR,0.0,5.118548937813208,-11.381451062186791
Giannis Antetokounmpo,PR,42.0,36.432,-5.567999999999998,UNDER,PrizePicks,combo,PR,0.0,30.599975501368863,-11.400024498631137
Dillon Brooks,PA,21.5,22.397,0.8969999999999985,OVER,PrizePicks,combo,PA,0.0,9.307178332593478,-12.192821667406522
Jamal Murray,PRA,41.0,38.437,-2.5630000000000024,UNDER,PrizePicks,combo,PRA,0.0,28.66860429500399,-12.331395704996009
Julius Randle,PA,29.5,22.896,-6.603999999999999,UNDER,PrizePicks,combo,PA,0.0,17.00227263830697,-12.49772736169303
Jamal Murray,PTS,26.0,23.325,-2.6750000000000007,UNDER,PrizePicks,standard,PTS,0.0,10.380927349761125,-15.619072650238875
Giannis Antetokounmpo,PRA,47.5,40.768,-6.731999999999999,UNDER,PrizePicks,combo,PRA,0.0,27.912786259529124,-19.587213740470876
Tyler Herro,PR,24.5,23.332,-1.1679999999999993,UNDER,PrizePicks,combo,PR,0.0,4.28779889769604,-20.21220110230396
Chet Holmgren,PRA,27.5,26.294,-1.2059999999999995,UNDER,PrizePicks,combo,PRA,0.0,5.106555374748448,-22.393444625251554
